_id/$oid,ID,OrgstructureID,E_COMPANY,E_BRANCH,E_UNIT,E_DIVISION,E_DEPARTMENT,E_TEAM,E_SECTION,E_COMPANY_CODE,E_BRANCH_CODE,E_UNIT_CODE,E_DIVISION_CODE,E_DEPARTMENT_CODE,E_TEAM_CODE,E_SECTION_CODE,SortID
5f0578fddc89b71bdcd0602f,07ec22cf-9c88-4a7e-a8ca-d9cff28bd71d,01dfe877-e618-4c33-83f9-ba938ac0bcee,PHONG PHÚ GROUP,,CÔNG TY CP QUỐC TẾ PHONG PHÚ,Công ty CPQT Phong Phú - Chi Nhánh Phú Yên,Bộ phận Kỹ thuật,,,PPG,,PPJ,540000,540002,,,3700453
5f0578fddc89b71bdcd06030,c9429bb3-7b7c-4838-ae77-da1521dd854f,93a803ba-2bf6-425e-8ae7-9130c629cc13,PHONG PHÚ GROUP,,CÔNG TY CP QUỐC TẾ PHONG PHÚ,Nhà máy may Jeans Xuất Khẩu,Bộ phận Thai sản,,,PPG,,PPJ,FC_230000,231400,,,3700165
5f0578fddc89b71bdcd06031,6845ddb4-f9fa-4659-9fbd-da2ea244a9c2,414e7c75-fe4f-4357-947a-d55e92a1c3a4,PHONG PHÚ GROUP,,CÔNG TY CỔ PHẦN CÔNG NGHỆ WASH HNC,Nhà máy Wash HNC,Bộ phận quản lý chất lượng,QC đầu vào,,PPG,,FC_HNC,940002,707000,707010,,3700650
5f0578fddc89b71bdcd06032,e27755aa-3130-480c-bdf2-da3703100916,4849cbe9-5b39-4cb5-8e72-42e3275ca9ac,PHONG PHÚ GROUP,,CÔNG TY CỔ PHẦN ĐẦU TƯ QUỐC TẾ PHONG PHÚ - PHÚ YÊN,Nhà máy Wash Phú Yên,Bộ phận Cơ điện - Bảo trì,Xủ lý nước thải,,PPG,,PY,FC_P04,595000,595002,,3699553
5f0578fddc89b71bdcd06033,e8c8fe59-153e-46e5-a3ef-da3f53f39239,27b37c94-add1-4bed-a85f-a5ad00e8900c,PHONG PHÚ GROUP,,CÔNG TY CỔ PHẦN DỆT MAY PPJ HUẾ,Nhà máy Dệt thoi,Bộ phận QC,QC May,QC Inline,PPG,,FC_HPH,840000,807000,807040,807042,3700306
5f0578fddc89b71bdcd06034,38f35758-f139-4bec-a96b-da67299d0350,74c969eb-b241-411f-b5a3-e81d912756dd,PHONG PHÚ GROUP,,CÔNG TY CỔ PHẦN CÔNG NGHỆ WASH HNC,Nhà máy Wash HNC,Bộ phận thời trang,HandSand,HS 2,PPG,,FC_HNC,940002,709000,709030,709032,3700786
5f0578fddc89b71bdcd06035,ca47cfcd-782c-48c9-aa9c-4b856003b344,3edbde19-aa4c-4322-8af6-450d55130032,PHONG PHÚ GROUP,,CÔNG TY CỔ PHẦN ĐẦU TƯ QUỐC TẾ PHONG PHÚ - PHÚ YÊN,Nhà máy May Xuất khẩu Phong Phú Phú Yên 1,Chuyền may,Chuyền 09,,PPG,,PY,FC_P01,P01700,P01709,,3699569
5f0578fddc89b71bdcd06036,90a5b9d1-57c1-4195-8bd2-4bf4520e0b5c,a9d5209f-54cc-4a75-a3d7-347ee4700daa,PHONG PHÚ GROUP,,Thêu Phong Phú Thủ Đức,,,,Bộ phận Kho,PPG,,260000,,,,260700,3699430
5f0578fddc89b71bdcd06037,3ceafaae-a654-4455-ac88-4c1f35b16efe,d3824251-367e-4f2b-88d4-0f6992fb1a17,PHONG PHÚ GROUP,,CÔNG TY CP QUỐC TẾ PHONG PHÚ,Nhà máy may xuất khẩu Phong Phú Long An - Công ty CPQT Phong Phú,Bộ phận Quản lý chất lượng ( BP. QC ) ,Quản lý chất lượng chuyền may,,PPG,,PPJ,290000,291200,291201,,3699144
5f0578fddc89b71bdcd06038,db1b9cd1-5324-433d-a050-f3e18dfe099b,d0586e00-638c-4df4-a7ce-9e3dde78eb5d,PHONG PHÚ GROUP,,CÔNG TY CP QUỐC TẾ PHONG PHÚ,Chi nhánh thành phố Đà Nẵng - Công ty CPQT Phong Phú,Nhà máy May Xuất khẩu Phong Phú Đà Nẵng A,Chuyền may,Chuyền 12,PPG,,PPJ,340000,FC_310000,311000,311012,3700255
